trade_date,value,ma,ma20,value_ben,buy,sell,return,bench_self
2021-09-23,62458.52630000004,0.051995012468827984,0.025405236907730454,26.29,,0.09268495428096428,-0.3754147369999996,0.09268495428096428
2021-09-24,62458.52630000004,0.05303408146300914,0.0282211138819617,25.7,,,-0.3754147369999996,0.06816292601828765
2021-09-27,62458.52630000004,0.04837905236907737,0.02933291770573559,24.77,,,-0.3754147369999996,0.029509559434746504
2021-09-28,62639.92094000004,0.04837905236907737,0.03121363258520356,25.11,0.043640897755611,,-0.3736007905999996,0.043640897755611
2021-09-29,58953.658700000036,0.0430590191188697,0.03108894430590196,23.74,,-0.013300083125519547,-0.4104634129999996,-0.013300083125519547
2021-09-30,58555.43462000005,0.04031587697423119,0.03130714879468002,23.67,-0.016209476309226808,,-0.4144456537999995,-0.016209476309226808
2021-10-08,60994.38326000004,0.04098088113050724,0.032377389858686614,24.86,,0.033250207813798865,-0.3900561673999996,0.033250207813798865
2021-10-11,60994.38326000004,0.041645885286783146,0.03347880299251879,25.08,,,-0.3900561673999996,0.0423940149625935
2021-10-12,60994.38326000004,0.038819617622610186,0.03422693266832944,24.58,,,-0.3900561673999996,0.02161263507896923
2021-10-13,60994.38326000004,0.028969243557772202,0.03439318370739834,23.77,,,-0.3900561673999996,-0.012053200332502043
2021-10-14,60994.38326000004,0.024854530340814737,0.03517248545303429,25.3,,,-0.3900561673999996,0.051537822111388285
2021-10-15,60994.38326000004,0.020698254364089824,0.035037406483790674,24.7,,,-0.3900561673999996,0.026600166251039094
2021-10-18,60994.38326000004,0.024438902743142334,0.036429758935993505,25.67,,,-0.3900561673999996,0.06691604322527028
2021-10-19,60994.38326000004,0.02535328345802159,0.03737531172069849,25.33,,,-0.3900561673999996,0.052784704904405635
2021-10-20,60994.38326000004,0.03221113881961757,0.03873649210307573,25.39,,,-0.3900561673999996,0.05527847049044064
2021-10-21,60994.38326000004,0.03869492934330814,0.040326267664173056,25.23,,,-0.3900561673999996,0.04862842892768087
2021-10-22,60994.38326000004,0.03711554447215283,0.04051330008312568,24.48,,,-0.3900561673999996,0.01745635910224446
2021-10-25,60994.38326000004,0.03437240232751462,0.040897755610972794,24.42,,,-0.3900561673999996,0.0149625935162096
